PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
MP,Mechanical Permit,2018-004115 MP,Commercial,Repair,No,1717 W 10TH ST,Replace 5 ton heat pump for HVAC system like for like,0109040401,ABS 697 SUR 7 SPEAR G W ACR 1914,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,,,,1,1,,,,,,$6499.00,,,,,1717 W 10TH ST,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849529,11849529,30.28004812,-97.76221153,"(30.28004812, -97.76221153)"
EP,Electrical Permit,2018-004098 EP,Residential,Repair,No,5303 BRANDING CHASE,Disconnect electric meter from wall in order to replace siding on residence,0264000305,LOT 6 BLK A ANGUS VALLEY NO 8,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,,,,1,1,,,,$1000.00,,,,,,,5303 BRANDING CHASE,AUSTIN,TX,78727,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849497,11849497,30.42442012,-97.73809023,"(30.42442012, -97.73809023)"
PP,Plumbing Permit,2018-004094 PP,Residential,New,No,11717 SADDLE ROCK DR,new residence plumbing ETJ,0312381102,LOT 10 BLK C PRADO RANCH PHS 1,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,1987,,,1,1,,,,,,,,,,,11717 SADDLE ROCK DR,AUSTIN,TX,78725,,AUSTIN 2 MILE ETJ,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849493,11849493,,,
PP,Plumbing Permit,2018-004090 PP,Residential,New,No,11725 SADDLE ROCK DR,New residence plumbing ETJ,0312381104,LOT 8 BLK C PRADO RANCH PHS 1,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,1782,,,1,1,,,,,,,,,,,11725 SADDLE ROCK DR,AUSTIN,TX,78725,,AUSTIN 2 MILE ETJ,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849486,11849486,,,
EP,Electrical Permit,2018-004086 EP,Residential,Repair,No,14901 VIA DEL CORSO DR,Homebuilder's Loop for new residence  EUD,0121760212,LOT 16 BLK G TERRA COLINAS PHS 2,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,2708,2708,,,1,1,,,,$500.00,,,,,,,14901 VIA DEL CORSO DR,BEE CAVE,TX,78738,,BEE CAVE ETJ,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849482,11849482,,,
EP,Electrical Permit,2018-004085 EP,Residential,New,No,14901 VIA DEL CORSO DR,New electrical service to new SF residence only  EUD,0121760212,LOT 16 BLK G TERRA COLINAS PHS 2,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,2708,,,1,1,,,,,,,,,,,14901 VIA DEL CORSO DR,BEE CAVE,TX,78738,,BEE CAVE ETJ,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849481,11849481,,,
PP,Plumbing Permit,2018-004083 PP,Residential,New,No,11721 SADDLE ROCK DR,new residence plumbing ETJ,0312381103,LOT 9 BLK C PRADO RANCH PHS 1,2018/01/10,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,2460,,,1,1,,,,,,,,,,,11721 SADDLE ROCK DR,AUSTIN,TX,78725,,AUSTIN 2 MILE ETJ,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11849476,11849476,,,
PP,Plumbing Permit,2018-002434 PP,Residential,Change Out,No,5817 MISTY HILL CV,Replacement of an existing water heater,0156050338,LOT 25 GREENS SEC 2 THE,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$2644.00,,,5817 MISTY HILL CV,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847474,11847474,30.40390263,-97.76447696,"(30.40390263, -97.76447696)"
PP,Plumbing Permit,2018-002430 PP,Residential,Change Out,No,1504 ANISE DR,Replacement of an existing water heater,0310180126,LOT 25 BLK F RIVERSIDE MEADOWS SEC 1,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$1699.00,,,1504 ANISE DR,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847470,11847470,30.22449386,-97.69350739,"(30.22449386, -97.69350739)"
EP,Electrical Permit,2018-002404 EP,Residential,Special Inspections Program,No,1603 PALMA PLZ,Reid Dustin EV Charging Station Installation Not a part of the EV360 Program,0111030908,LOT 9 ENFIELD C,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,$350.00,,,,,,,1603 PALMA PLZ,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847435,11847435,30.28187637,-97.75847733,"(30.28187637, -97.75847733)"
PP,Plumbing Permit,2018-002401 PP,Residential,Change Out,No,7901 D K RANCH CT,Replacement of an existing water heater,0162091448,LOT 4 NORTHWEST HILLS RANCH SEC 1 AMENDED PLAT OF RESUB OF LOT F5,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$5200.00,,,7901 D K RANCH CT,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847424,11847424,30.41954129,-97.77978479,"(30.41954129, -97.77978479)"
PP,Plumbing Permit,2018-002396 PP,Residential,Change Out,No,5312 KRUEGER LN,Replacement of an existing water heater,0215240712,LOT 12 BLK C SENATE HILLS SUBD SEC 1,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$2000.00,,,5312 KRUEGER LN,AUSTIN,TX,78723,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847415,11847415,30.29077939,-97.66794681,"(30.29077939, -97.66794681)"
PP,Plumbing Permit,2018-002383 PP,Residential,Change Out,No,8108 BAYWOOD DR,Replacement of an existing water heater,0243010633,LOT 20B BLK C SPICEWOOD FOREST RESUB OF LOT 20,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$2300.00,,,8108 BAYWOOD DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847402,11847402,30.36776638,-97.74834672,"(30.36776638, -97.74834672)"
PP,Plumbing Permit,2018-002372 PP,Commercial,Repair,No,4801 S CONGRESS AVE UNIT N2,Repair water yard line leak only,0414051301,,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,0,,,,,,,,$0.00,$2000.00,,,4801 S CONGRESS AVE UNIT N2,AUSTIN,TX,78745,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847391,11847391,30.21335488,-97.76944612,"(30.21335488, -97.76944612)"
PP,Plumbing Permit,2018-002328 PP,Residential,Repair,No,10105 ROCKING HORSE RD,tunnel to reroute drain system into yard and to existing yard line,0428280722,LOT 83 PALOMINO PARK SEC 3,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,1536,,,,1,1,,,,,,,,$27000.00,,,10105 ROCKING HORSE RD,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847345,11847345,30.1790714,-97.84607283,"(30.1790714, -97.84607283)"
MP,Mechanical Permit,2018-002288 MP,Residential,Change Out,No,4620 W WILLIAM CANNON DR BLDG J UNIT 39,Replacement of complete existing central heat and air system with or without duct work,0412280706,UNT 1 BLD A WESTCREEK RANCH CONDOMINIUM AMENDED PHS 1 PLUS 15 INTEREST IN COMMON AREA,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,$6316.00,,,,,4620 W WILLIAM CANNON DR BLDG J UNIT 39,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847304,11847304,30.22442395,-97.8434196,"(30.22442395, -97.8434196)"
MP,Mechanical Permit,2018-002219 MP,Residential,Change Out,No,6400 SPRUCEWOOD DR,Replacement of complete existing central heat and air system with or without duct work,0141120313,LOT 13 BLK A LAKEWOOD VILLAGE,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,$9950.00,,,,,6400 SPRUCEWOOD DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847235,11847235,30.36089828,-97.78723328,"(30.36089828, -97.78723328)"
BP,Building Permit,2018-002211 BP,R- 329 Res Structures Other Than Bldg,New,No,13141 CORIANDER DR,Inground Swimming Pool  Spa wreq'd enclosure device for existing 2 story SF res,R399690,ESTATES AT HUNTERS CHASE SEC 1 BLOCK C LOT 22,2017/10/27,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,448,,$65000.00,0,0,,,,,,,,,,,13141 CORIANDER DR,AUSTIN,TX,78729,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847225,11847225,30.45355909,-97.76415314,"(30.45355909, -97.76415314)"
PP,Plumbing Permit,2018-002187 PP,Residential,Change Out,No,1137 TETBURY LN,Replacement of an existing water heater,0426151315,LOT 12 BLK M PARKWOOD SEC 3,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$1000.00,,,1137 TETBURY LN,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847201,11847201,30.18345375,-97.80597098,"(30.18345375, -97.80597098)"
PP,Plumbing Permit,2018-002171 PP,Residential,Irrigation,No,11405 TOLEDO DR,install lawn sprinkler,0258040411,LOT 8 BLK Y BALCONES WOODS SEC 3A,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$2400.00,,,11405 TOLEDO DR,AUSTIN,TX,78759,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847185,11847185,30.40818667,-97.73913649,"(30.40818667, -97.73913649)"
PP,Plumbing Permit,2018-002134 PP,Residential,Change Out,No,6903 TEN OAKS CIR,Replacement of an existing water heater,0428011235,LOT 2 BLK K GREENSLOPES PHS 1,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$2600.00,,,6903 TEN OAKS CIR,AUSTIN,TX,78744,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847148,11847148,30.17696422,-97.75227003,"(30.17696422, -97.75227003)"
